Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
11/20/2023,Loudoun,102999,2129,452
11/20/2023,Prince William,151331,4099,952
11/19/2023,Alexandria,47103,847,234
11/19/2023,Arlington,68890,1401,371
11/19/2023,Fairfax,280303,5526,1799
11/19/2023,Loudoun,102990,2129,452
11/19/2023,Prince William,151301,4099,952
11/18/2023,Alexandria,47100,847,234
11/18/2023,Arlington,68883,1401,371
11/18/2023,Fairfax,280261,5525,1799
11/18/2023,Loudoun,102966,2129,452
11/18/2023,Prince William,151275,4099,952
11/17/2023,Alexandria,47092,847,234
11/17/2023,Arlington,68874,1401,371
11/17/2023,Fairfax,280205,5523,1799
11/17/2023,Loudoun,102939,2128,452
11/17/2023,Prince William,151230,4099,952
11/16/2023,Alexandria,47084,847,234
11/16/2023,Arlington,68872,1402,371
11/16/2023,Fairfax,280133,5521,1799
11/16/2023,Loudoun,102910,2128,452
11/16/2023,Prince William,151187,4098,952
11/15/2023,Alexandria,47076,847,234
11/15/2023,Arlington,68860,1402,371
11/15/2023,Fairfax,280060,5520,1799
11/15/2023,Loudoun,102878,2128,452
11/15/2023,Prince William,151153,4098,952
11/14/2023,Alexandria,47064,847,234
11/14/2023,Arlington,68843,1402,371
11/14/2023,Fairfax,279998,5516,1799
11/14/2023,Loudoun,102851,2126,452
11/14/2023,Prince William,151118,4097,952
11/13/2023,Alexandria,47060,847,234
11/13/2023,Arlington,68835,1402,371
11/13/2023,Fairfax,279945,5514,1799
11/13/2023,Loudoun,102830,2125,452
11/13/2023,Prince William,151072,4096,952
11/12/2023,Alexandria,47058,847,234
11/12/2023,Arlington,68834,1402,371
11/12/2023,Fairfax,279916,5513,1799
11/12/2023,Loudoun,102814,2125,452
11/12/2023,Prince William,151056,4096,952
11/11/2023,Alexandria,47049,846,234
11/11/2023,Arlington,68830,1402,371
11/11/2023,Fairfax,279871,5514,1799
11/11/2023,Loudoun,102795,2124,452
11/11/2023,Prince William,151015,4095,952
11/10/2023,Alexandria,47044,845,234
11/10/2023,Arlington,68822,1402,371
11/10/2023,Fairfax,279827,5510,1799
11/10/2023,Loudoun,102776,2124,452
11/10/2023,Prince William,150983,4095,952
11/09/2023,Alexandria,47037,845,234
11/09/2023,Arlington,68815,1402,371
11/09/2023,Fairfax,279764,5510,1799
11/09/2023,Loudoun,102739,2125,452
11/09/2023,Prince William,150950,4095,952
11/08/2023,Alexandria,47029,844,234
11/08/2023,Arlington,68807,1402,371
11/08/2023,Fairfax,279695,5509,1799
11/08/2023,Loudoun,102722,2124,452
11/08/2023,Prince William,150906,4095,952
11/07/2023,Alexandria,47024,844,234
11/07/2023,Arlington,68802,1401,371
11/07/2023,Fairfax,279637,5507,1799
11/07/2023,Loudoun,102693,2124,452
11/07/2023,Prince William,150868,4095,952
11/06/2023,Alexandria,47019,844,234
11/06/2023,Arlington,68798,1401,371
11/06/2023,Fairfax,279567,5507,1799
11/06/2023,Loudoun,102668,2123,452
11/06/2023,Prince William,150841,4095,952
11/05/2023,Alexandria,47014,844,234
11/05/2023,Arlington,68790,1400,371
11/05/2023,Fairfax,279523,5505,1799
11/05/2023,Loudoun,102654,2123,452
11/05/2023,Prince William,150822,4095,952
11/04/2023,Alexandria,47009,843,234
11/04/2023,Arlington,68788,1400,371
11/04/2023,Fairfax,279474,5504,1799
11/04/2023,Loudoun,102639,2123,452
11/04/2023,Prince William,150790,4095,952
11/03/2023,Alexandria,47005,843,234
11/03/2023,Arlington,68781,1400,371
11/03/2023,Fairfax,279431,5504,1799
11/03/2023,Loudoun,102613,2122,452
11/03/2023,Prince William,150761,4095,952
11/02/2023,Alexandria,47000,843,234
11/02/2023,Arlington,68770,1400,371
11/02/2023,Fairfax,279382,5503,1799
11/02/2023,Loudoun,102586,2127,452
11/02/2023,Prince William,150715,4094,952
11/01/2023,Alexandria,46997,843,234
11/01/2023,Arlington,68761,1400,371
11/01/2023,Fairfax,279333,5501,1798
11/01/2023,Loudoun,102568,2128,451
11/01/2023,Prince William,150676,4094,952
10/31/2023,Alexandria,46988,843,234
10/31/2023,Arlington,68760,1400,371
10/31/2023,Fairfax,279288,5500,1798
10/31/2023,Loudoun,102529,2136,451
10/31/2023,Prince William,150638,4093,952
10/30/2023,Alexandria,46980,843,234
10/30/2023,Arlington,68756,1400,371
10/30/2023,Fairfax,279244,5499,1798
10/30/2023,Loudoun,102495,2135,451
10/30/2023,Prince William,150607,4093,952
10/29/2023,Alexandria,46978,843,234
10/29/2023,Arlington,68748,1400,371
10/29/2023,Fairfax,279213,5496,1798
10/29/2023,Loudoun,102484,2134,451
10/29/2023,Prince William,150579,4093,952
10/28/2023,Alexandria,46973,843,234
10/28/2023,Arlington,68740,1400,371
10/28/2023,Fairfax,279179,5493,1798
10/28/2023,Loudoun,102464,2134,451
10/28/2023,Prince William,150549,4093,952
10/27/2023,Alexandria,46968,843,234
10/27/2023,Arlington,68726,1400,371
10/27/2023,Fairfax,279117,5491,1798
10/27/2023,Loudoun,102447,2135,451
10/27/2023,Prince William,150509,4093,952
10/26/2023,Alexandria,46959,842,234
10/26/2023,Arlington,68713,1400,371
10/26/2023,Fairfax,279062,5490,1797
10/26/2023,Loudoun,102408,2135,451
10/26/2023,Prince William,150476,4093,952
10/25/2023,Alexandria,46947,842,234
10/25/2023,Arlington,68704,1400,371
10/25/2023,Fairfax,278992,5489,1797
10/25/2023,Loudoun,102387,2135,451
10/25/2023,Prince William,150447,4093,952
10/24/2023,Alexandria,46944,842,234
10/24/2023,Arlington,68694,1400,371
10/24/2023,Fairfax,278910,5487,1797
10/24/2023,Loudoun,102354,2132,451
10/24/2023,Prince William,150389,4093,952
10/23/2023,Alexandria,46929,842,234
10/23/2023,Arlington,68684,1400,371
10/23/2023,Fairfax,278858,5485,1795
10/23/2023,Loudoun,102322,2132,451
10/23/2023,Prince William,150335,4093,952
10/22/2023,Alexandria,46920,842,234
10/22/2023,Arlington,68680,1400,371
10/22/2023,Fairfax,278831,5484,1795
10/22/2023,Loudoun,102313,2132,451
10/22/2023,Prince William,150315,4092,952
10/21/2023,Alexandria,46916,842,234
10/21/2023,Arlington,68674,1400,371
10/21/2023,Fairfax,278798,5482,1795
10/21/2023,Loudoun,102291,2132,451
10/21/2023,Prince William,150291,4091,952
10/20/2023,Alexandria,46906,842,234
10/20/2023,Arlington,68663,1400,371
10/20/2023,Fairfax,278730,5478,1795
10/20/2023,Loudoun,102249,2131,451
10/20/2023,Prince William,150242,4091,952
10/19/2023,Alexandria,46899,842,234
10/19/2023,Arlington,68656,1400,371
10/19/2023,Fairfax,278689,5477,1795
10/19/2023,Loudoun,102235,2131,451
10/19/2023,Prince William,150217,4091,952
10/18/2023,Alexandria,46889,842,234
10/18/2023,Arlington,68649,1400,371
10/18/2023,Fairfax,278629,5477,1795
10/18/2023,Loudoun,102214,2131,451
10/18/2023,Prince William,150185,4091,952
10/17/2023,Alexandria,46884,842,234
10/17/2023,Arlington,68644,1400,371
10/17/2023,Fairfax,278568,5475,1795
10/17/2023,Loudoun,102183,2130,451
10/17/2023,Prince William,150140,4091,952
10/16/2023,Alexandria,46877,842,234
10/16/2023,Arlington,68637,1400,371
10/16/2023,Fairfax,278528,5475,1795
10/16/2023,Loudoun,102158,2130,451
10/16/2023,Prince William,150106,4090,952
10/15/2023,Alexandria,46873,842,234
10/15/2023,Arlington,68631,1400,371
10/15/2023,Fairfax,278482,5474,1795
10/15/2023,Loudoun,102140,2129,451
10/15/2023,Prince William,150081,4090,952
10/14/2023,Alexandria,46868,842,234
10/14/2023,Arlington,68627,1400,371
10/14/2023,Fairfax,278444,5472,1795
10/14/2023,Loudoun,102114,2129,451
10/14/2023,Prince William,150051,4090,952
10/13/2023,Alexandria,46864,841,234
10/13/2023,Arlington,68624,1400,371
10/13/2023,Fairfax,278389,5471,1795
10/13/2023,Loudoun,102090,2128,451
10/13/2023,Prince William,150019,4090,952
10/12/2023,Alexandria,46858,841,234
10/12/2023,Arlington,68616,1400,371
10/12/2023,Fairfax,278325,5471,1795
10/12/2023,Loudoun,102056,2126,451
10/12/2023,Prince William,149989,4090,952
10/11/2023,Alexandria,46858,841,234
10/11/2023,Arlington,68605,1399,371
10/11/2023,Fairfax,278238,5470,1795
10/11/2023,Loudoun,102033,2125,451
10/11/2023,Prince William,149951,4090,952
10/10/2023,Alexandria,46848,841,234
10/10/2023,Arlington,68589,1399,371
10/10/2023,Fairfax,278184,5469,1795
10/10/2023,Loudoun,101999,2127,451
10/10/2023,Prince William,149903,4090,952
10/09/2023,Alexandria,46846,841,234
10/09/2023,Arlington,68583,1399,371
10/09/2023,Fairfax,278157,5468,1795
10/09/2023,Loudoun,101983,2127,451
10/09/2023,Prince William,149892,4090,952
10/08/2023,Alexandria,46842,841,234
10/08/2023,Arlington,68580,1399,371
10/08/2023,Fairfax,278116,5468,1795
10/08/2023,Loudoun,101969,2127,451
10/08/2023,Prince William,149875,4090,952
10/07/2023,Alexandria,46838,841,234
10/07/2023,Arlington,68571,1399,371
10/07/2023,Fairfax,278072,5468,1795
10/07/2023,Loudoun,101952,2127,451
10/07/2023,Prince William,149851,4090,952
10/06/2023,Alexandria,46829,841,234
10/06/2023,Arlington,68559,1399,371
10/06/2023,Fairfax,278011,5467,1795
10/06/2023,Loudoun,101926,2127,451
10/06/2023,Prince William,149815,4089,952
10/05/2023,Alexandria,46822,841,234
10/05/2023,Arlington,68550,1399,371
10/05/2023,Fairfax,277936,5466,1795
10/05/2023,Loudoun,101903,2127,451
10/05/2023,Prince William,149774,4089,952
10/04/2023,Alexandria,46813,840,234
10/04/2023,Arlington,68535,1399,371
10/04/2023,Fairfax,277879,5464,1795
10/04/2023,Loudoun,101873,2127,451
10/04/2023,Prince William,149751,4089,952
10/03/2023,Alexandria,46803,840,234
10/03/2023,Arlington,68519,1399,371
10/03/2023,Fairfax,277811,5464,1795
10/03/2023,Loudoun,101840,2127,451
10/03/2023,Prince William,149726,4089,952
10/02/2023,Alexandria,46798,840,234
10/02/2023,Arlington,68508,1399,371
10/02/2023,Fairfax,277742,5462,1795
10/02/2023,Loudoun,101814,2126,451
10/02/2023,Prince William,149686,4089,951
10/01/2023,Alexandria,46793,840,234
10/01/2023,Arlington,68494,1399,371
10/01/2023,Fairfax,277700,5461,1795
10/01/2023,Loudoun,101801,2126,451
10/01/2023,Prince William,149659,4089,951
09/30/2023,Alexandria,46788,840,234
09/30/2023,Arlington,68489,1399,371
09/30/2023,Fairfax,277642,5461,1795
09/30/2023,Loudoun,101778,2126,451
09/30/2023,Prince William,149622,4088,951
09/29/2023,Alexandria,46779,839,234
09/29/2023,Arlington,68478,1399,371
09/29/2023,Fairfax,277564,5460,1795
09/29/2023,Loudoun,101749,2125,450
09/29/2023,Prince William,149586,4088,951
09/28/2023,Alexandria,46773,839,234
09/28/2023,Arlington,68468,1399,371
09/28/2023,Fairfax,277457,5458,1795
09/28/2023,Loudoun,101721,2123,450
09/28/2023,Prince William,149538,4088,951
09/27/2023,Alexandria,46763,839,234
09/27/2023,Arlington,68449,1399,371
